Angulo1,Angulo2,Angulo3,Angulo4,Angulo5,TH1,TH2,TH3,TH4,TH5
-90,30,-60,-60,30,0.534044889058349,0.280561707651267,0.202011333768907,0.0727240801568065,0.00572574913574013
-90,30,-60,-60,60,0.521254732826179,0.271744532707933,0.196660406759874,0.0707977464335547,0.00272768425435444
-90,30,-60,-60,90,0.536093057108092,0.279664509210818,0.201191644286659,0.0724289919431971,0.00661843280380361
-90,30,-60,-30,-90,0.420070601071228,0.194975488442525,0.137009639562932,0.0417208662108674,0.00518605680334849
-90,30,-60,-30,-60,0.409017660586325,0.191192818598001,0.132701667555722,0.0402107898581061,0.00530806670222886
-90,30,-60,-30,-30,0.398483302943946,0.18384463536012,0.126981410036004,0.0385593624801165,0.00428437360890184
-90,30,-60,-30,0,0.416262963146799,0.192281604044682,0.134010108517817,0.040768502007393,0.00579170610807777
-90,30,-60,-30,30,0.416542958409438,0.194358763010813,0.137196744238371,0.0417828517441323,0.00396650536756762
-90,30,-60,-30,60,0.409257667602388,0.189319883765372,0.134169292936065,0.0409777565930189,0.00234703488091792
-90,30,-60,-30,90,0.420070601071228,0.194975488442525,0.137009639562932,0.0417208662108674,0.00518605680334849
-90,30,-60,0,-90,0.598158002482233,0.280246684238515,0.208098337850277,0.0786106554484577,0.00738466669731152
-90,30,-60,0,-60,0.577615200236619,0.272517373175722,0.199902379064015,0.0756482564345708,0.00799609516256061
-90,30,-60,0,-30,0.558060130947853,0.25951966791397,0.189979632873276,0.0723051653175549,0.00650078837548599
-90,30,-60,0,0,0.58950581558229,0.274412777548749,0.202399251247014,0.0768004720224179,0.00853338578026866
-90,30,-60,0,30,0.593387527089709,0.279377294764726,0.208018831309658,0.0783861368164074,0.00570157744417809
-90,30,-60,0,60,0.581176193920693,0.271394125327748,0.203117444476106,0.0766097767851617,0.00307236823840654
-90,30,-60,0,90,0.598158002482233,0.280246684238515,0.208098337850277,0.0786106554484577,0.00738466669731152
-90,30,-60,30,-90,0.668588147143361,0.351264647501182,0.272534977883179,0.064517996479809,0.00825417465609088
-90,30,-60,30,-60,0.642555940073876,0.339503005353877,0.260626903903501,0.0623576948609163,0.0104250761561401
-90,30,-60,30,-30,0.610466335967032,0.315532132113887,0.242793952622023,0.0579548814086731,0.00847866684973856
-90,30,-60,30,0,0.649958523684884,0.33642311889387,0.260160549064155,0.0617920014294863,0.0105489844584814
-90,30,-60,30,30,0.66664263983059,0.352241609702022,0.273183946101446,0.0646974385166979,0.0071886042796331
-90,30,-60,30,60,0.650550235253552,0.341309061710791,0.266286419972926,0.0626894194979004,0.00296627587490016
-90,30,-60,30,90,0.668588147143361,0.351264647501182,0.272534977883179,0.064517996479809,0.00825417465609088
-90,30,-60,60,-90,0.570908933263879,0.284985596057365,0.230282910069899,0.0227154752263307,0.00704825843535653
-90,30,-60,60,-60,0.548510903810912,0.275219786778632,0.220037460660352,0.0221908651531394,0.00880149842641407
-90,30,-60,60,-30,0.524864600671986,0.257007514327111,0.20597314889488,0.0215501907684372,0.00728278651247207
-90,30,-60,60,0,0.556817527075472,0.273301960555959,0.220183590503961,0.022593820497434,0.00893834388773308
-90,30,-60,60,30,0.568935215765674,0.28567457014225,0.230884464514184,0.0225184582611978,0.00583009326820918
