Angulo1,Angulo2,Angulo3,Angulo4,Angulo5,TH1,TH2,TH3,TH4,TH5,Raiz_Sumatoria_TH
-60,60,60,-60,-30,0.0619042900376617,0.0490115054247808,0.0250058701146841,0.006878254448629,0.0007825481691071,0.08311128139524603
60,-60,-60,60,30,0.0619042900376617,0.0490115054247808,0.0250058701146841,0.006878254448629,0.0007825481691071,0.08311128139524603
